experiment_id,learning_rate,weight_decay,label_smoothing,batch_size,best_val_accuracy,test_accuracy,final_train_loss,epochs_trained,optimizer,log_file
59,0.001,0.0,0.01,16,66.76,67.30000000000001,0.5292303931647419,32,Adam,logs/task3/exp_59_lr0.001_wd0_ls0.01_bs16.log
60,0.001,0.0,0.01,64,67.32,66.46,0.6169145273214037,47,Adam,logs/task3/exp_60_lr0.001_wd0_ls0.01_bs64.log
61,0.001,0.0,0.1,4,68.28,67.53,0.9067439781824748,38,Adam,logs/task3/exp_61_lr0.001_wd0_ls0.1_bs4.log
62,0.001,0.0,0.1,16,68.14,68.84,0.8964922524964813,39,Adam,logs/task3/exp_62_lr0.001_wd0_ls0.1_bs16.log
63,0.001,0.0,0.1,64,70.28,69.84,0.9607463562014428,40,Adam,logs/task3/exp_63_lr0.001_wd0_ls0.1_bs64.log
64,0.001,1e-05,0.0,4,68.1,67.61,0.5152911101428312,49,Adam,logs/task3/exp_64_lr0.001_wd1e-05_ls0_bs4.log
65,0.001,1e-05,0.0,16,68.5,69.45,0.411021122057355,36,Adam,logs/task3/exp_65_lr0.001_wd1e-05_ls0_bs16.log
66,0.001,1e-05,0.0,64,68.24,67.94,0.5601229478647425,38,Adam,logs/task3/exp_66_lr0.001_wd1e-05_ls0_bs64.log
67,0.001,1e-05,0.01,4,68.82,68.75,0.5212189579010009,39,Adam,logs/task3/exp_67_lr0.001_wd1e-05_ls0.01_bs4.log
68,0.001,1e-05,0.01,16,67.7,67.75,0.4990066158635905,40,Adam,logs/task3/exp_68_lr0.001_wd1e-05_ls0.01_bs16.log
69,0.001,1e-05,0.01,64,68.62,68.38,0.5972215702164579,33,Adam,logs/task3/exp_69_lr0.001_wd1e-05_ls0.01_bs64.log
70,0.001,1e-05,0.1,4,69.32,69.07,0.8399257578002082,51,Adam,logs/task3/exp_70_lr0.001_wd1e-05_ls0.1_bs4.log
71,0.001,1e-05,0.1,16,70.42,69.51,0.8625489708540748,40,Adam,logs/task3/exp_71_lr0.001_wd1e-05_ls0.1_bs16.log
72,0.001,1e-05,0.1,64,68.14,67.71000000000001,0.9689986671913754,43,Adam,logs/task3/exp_72_lr0.001_wd1e-05_ls0.1_bs64.log
73,0.001,0.0001,0.0,4,71.32,71.39,0.6535071268728747,49,Adam,logs/task3/exp_73_lr0.001_wd0.0001_ls0_bs4.log
74,0.001,0.0001,0.0,16,68.44,69.33,0.5057429387871477,44,Adam,logs/task3/exp_74_lr0.001_wd0.0001_ls0_bs16.log
75,0.001,0.0001,0.0,64,68.44,68.21000000000001,0.5526843534528532,49,Adam,logs/task3/exp_75_lr0.001_wd0.0001_ls0_bs64.log
76,0.001,0.0001,0.01,4,71.44,70.83,0.6596082552280691,48,Adam,logs/task3/exp_76_lr0.001_wd0.0001_ls0.01_bs4.log
77,0.001,0.0001,0.01,16,71.16,70.38,0.498301015186153,45,Adam,logs/task3/exp_77_lr0.001_wd0.0001_ls0.01_bs16.log
78,0.001,0.0001,0.01,64,68.46,68.45,0.6304010593078353,51,Adam,logs/task3/exp_78_lr0.001_wd0.0001_ls0.01_bs64.log
79,0.001,0.0001,0.1,4,71.06,71.49,0.9612279168446859,58,Adam,logs/task3/exp_79_lr0.001_wd0.0001_ls0.1_bs4.log
80,0.001,0.0001,0.1,16,71.3,71.07,0.8755580850695106,43,Adam,logs/task3/exp_80_lr0.001_wd0.0001_ls0.1_bs16.log
81,0.001,0.0001,0.1,64,69.04,68.91000000000001,0.9437599186362191,41,Adam,logs/task3/exp_81_lr0.001_wd0.0001_ls0.1_bs64.log
